"A","B","C","G"
"30024","41074","60519","0"
"30024","41074","60519","0"
"30307","41074","60519","0"
"30307","40037","60519","0"
"30307","40037","59586","0"
"30307","40037","59586","0"
"30184","40037","59586","0"
"30184","40293","59586","0"
"30184","40293","59231","0"
"30184","40293","59231","0"
"29986","40293","59231","0"
"29986","41179","59231","0"
"29986","41179","61278","0"
"29986","41179","61278","0"
"30540","41179","61278","0"
"30540","40530","61278","0"
"30540","40530","59036","0"
"30540","40530","59036","0"
"30283","40530","59036","0"
"30283","40953","59036","0"
"30283","40953","59325","0"
"30283","40953","59325","0"
"30007","40953","59325","0"
"30007","40259","59325","0"
"30007","40259","61582","0"
"30007","40259","61582","0"
"30128","40259","61582","0"
"30128","40822","61582","0"
"30128","40822","61504","0"
"30128","40822","61504","0"
"30309","40822","61504","0"
"30309","39964","61504","0"
"30309","39964","60275","0"
"30309","39964","60275","0"
"30296","39964","60275","0"
"30296","40943","60275","0"
"30296","40943","60882","0"
"30296","40943","60882","0"
"30224","40943","60882","0"
"30224","39675","60882","0"
"30224","39675","63829","0"
"30224","39675","63829","0"
"30351","39675","63829","0"
"30351","39797","63829","0"
"30351","39797","63407","0"
"30351","39797","63407","0"
"30187","39797","63407","0"
"30187","40002","63407","0"
"30187","40002","64434","0"
"30187","40002","64434","0"
"30480","40002","64434","0"
"30480","41019","64434","0"
"30480","41019","62102","0"
"30480","41019","62102","0"
"30229","41019","62102","0"
"30229","40321","62102","0"
"30229","40321","63847","0"
"30229","40321","63847","0"
"30446","40321","63847","0"
"30446","41614","63847","0"
"30446","41614","63079","0"
"30446","41614","63079","0"
"29988","41614","63079","0"
"29988","41770","63079","0"
"29988","41770","66993","0"
"29988","41770","66993","0"
"29894","41770","66993","0"
"29894","42938","66993","0"
"29894","42938","68730","0"
"29894","42938","68730","0"
"30331","42938","68730","0"
"30331","42962","68730","0"
"30331","42962","69022","0"
"30331","42962","69022","0"
"29816","42962","69022","0"
"29816","42720","69022","0"
"29816","42720","68174","0"
"29816","42720","68174","0"
"29737","42720","68174","0"
"29737","42665","68174","0"
"29737","42665","72546","0"
"29737","42665","72546","0"
"29443","42665","72546","0"
"29443","42919","72546","0"
"29443","42919","70160","0"
"29443","42919","70160","0"
"29564","42919","70160","0"
"29564","42784","70160","0"
"29564","42784","69792","0"
"29564","42784","69792","0"
"29609","42784","69792","0"
"29609","43379","69792","0"
"29609","43379","77273","0"
"29609","43379","77273","0"
"29445","43379","77273","0"
"29445","42930","77273","0"
"29445","42930","79164","0"
"29445","42930","79164","0"
"29372","42930","79164","0"
"29372","42759","79164","0"
"29372","42759","78387","0"
"29372","42759","78387","0"
"29282","42759","78387","0"
"29282","42697","78387","0"
"29282","42697","71999","0"
"29282","42697","71999","0"
"29618","42697","71999","0"
"29618","42750","71999","0"
"29618","42750","69221","0"
"29618","42750","69221","0"
"29725","42750","69221","0"
"29725","42384","69221","0"
"29725","42384","67845","0"
"29725","42384","67845","0"
"29649","42384","67845","0"
"29649","42652","67845","0"
"29649","42652","69844","0"
"29649","42652","69844","0"
"29832","42652","69844","0"
"29832","43144","69844","0"
"29832","43144","67836","0"
"29832","43144","67836","0"
"29693","43144","67836","0"
"29693","43081","67836","0"
"29693","43081","68765","0"
"29693","43081","68765","0"
"29676","43081","68765","0"
"29676","42505","68765","0"
"29676","42505","67823","0"
"29676","42505","67823","0"
"29619","42505","67823","0"
"29619","42700","67823","0"
"29619","42700","69833","0"
"29619","42700","69833","0"
"29886","42700","69833","0"
"29886","43109","69833","0"
"29886","43109","67818","0"
"29886","43109","67818","0"
"29724","43109","67818","0"
"29724","43027","67818","0"
"29724","43027","68814","0"
"29724","43027","68814","0"
"29719","43027","68814","0"
"29719","42442","68814","0"
"29719","42442","67861","0"
"29719","42442","67861","0"
"29633","42442","67861","0"
"29633","42653","67861","0"
"29633","42653","69841","0"
"29633","42653","69841","0"
"29912","42653","69841","0"
"29912","43076","69841","0"
"29912","43076","67798","0"
"29912","43076","67798","0"
"29716","43076","67798","0"
"29716","43108","67798","0"
"29716","43108","68784","0"
"29716","43108","68784","0"
"29686","43108","68784","0"
"29686","42462","68784","0"
"29686","42462","67858","0"
"29686","42462","67858","0"
"29639","42462","67858","0"
"29639","42664","67858","0"
"29639","42664","69851","0"
"29639","42664","69851","0"
"29782","42664","69851","0"
"29782","43225","69851","0"
"29782","43225","67771","0"
"29782","43225","67771","0"
"29696","43225","67771","0"
"29696","42750","67771","0"
"29696","42750","69365","0"
"29696","42750","69365","0"
"29829","42750","69365","0"
"29829","42606","69365","0"
"29829","42606","67945","0"
"29829","42606","67945","0"
"29584","42606","67945","0"
"29584","42890","67945","0"
"29584","42890","69119","0"
"29584","42890","69119","0"
"29890","42890","69119","0"
"29890","43142","69119","0"
"29890","43142","67792","0"
"29890","43142","67792","0"
"29718","43142","67792","0"
"29718","43077","67792","0"
"29718","43077","68795","0"
"29718","43077","68795","0"
"29716","43077","68795","0"
"29716","42472","68795","0"
"29716","42472","67842","0"
"29716","42472","67842","0"
"29669","42472","67842","0"
"29669","42641","67842","0"
"29669","42641","69823","0"
"29669","42641","69823","0"
"29875","42641","69823","0"
"29875","43164","69823","0"
"29875","43164","67774","0"
"29875","43164","67774","0"
"29705","43164","67774","0"
"29705","43141","67774","0"
"29705","43141","68775","0"
"29705","43141","68775","0"
"29748","43141","68775","0"
"29748","42420","68775","0"
"29748","42420","67845","0"
"29748","42420","67845","0"
"29688","42420","67845","0"
"29688","42617","67845","0"
"29688","42617","69856","0"
"29688","42617","69856","0"
"29948","42617","69856","0"
"29948","43056","69856","0"
"29948","43056","67786","0"
"29948","43056","67786","0"
"29737","43056","67786","0"
"29737","43084","67786","0"
"29737","43084","68800","0"
"29737","43084","68800","0"
"29765","43084","68800","0"
"29765","42415","68800","0"
"29765","42415","67843","0"
"29765","42415","67843","0"
"29697","42415","67843","0"
"29697","42592","67843","0"
"29697","42592","69855","0"
"29697","42592","69855","0"
"29917","42592","69855","0"
"29917","43088","69855","0"
"29917","43088","67825","0"
"29917","43088","67825","0"
"29670","43088","67825","0"
"29670","43135","67825","0"
"29670","43135","68797","0"
"29670","43135","68797","0"
"29914","43135","68797","0"
"29914","42664","68797","0"
"29914","42664","67976","0"
"29914","42664","67976","0"
"29611","42664","67976","0"
"29611","42838","67976","0"
"29611","42838","69118","0"
"29611","42838","69118","0"
"29940","42838","69118","0"
"29940","43085","69118","0"
"29940","43085","67237","0"
"29940","43085","67237","0"
"29949","43085","67237","0"
"29949","42999","67237","0"
"29949","42999","68090","0"
"29949","42999","68090","0"
"30031","42999","68090","0"
"30031","42730","68090","0"
"30031","42730","67510","0"
"30031","42730","67510","0"
"30072","42730","67510","0"
"30072","42741","67510","0"
"30072","42741","69520","0"
"30072","42741","69520","0"
"30117","42741","69520","0"
"30117","43116","69520","0"
"30117","43116","67276","0"
"30117","43116","67276","0"
"30041","43116","67276","0"
"30041","42355","67276","0"
"30041","42355","64872","0"
"30041","42355","64872","0"
"29891","42355","64872","0"
"29891","42475","64872","0"
"30784","41315","52001","0"
"30784","41315","51689","0"
"30784","41315","51689","0"
"31024","41315","51689","0"
"31024","41208","51689","0"
"31024","41208","52028","0"
"31024","41208","52028","0"
"30933","41208","52028","0"
"30933","43191","52028","0"
"30933","43191","52398","0"
"30933","43191","52398","0"
"31397","43191","52398","0"
"31397","42531","52398","0"
"31397","42531","52631","0"
"31397","42531","52631","0"
"31252","42531","52631","0"
"31252","42188","52631","0"
"31252","42188","53296","0"
"31252","42188","53296","0"
"31650","42188","53296","0"
"31650","42962","53296","0"
"31650","42962","52937","0"
"31650","42962","52937","0"
"31272","42962","52937","0"
"31272","42567","52937","0"
"31272","42567","52577","0"
"31272","42567","52577","0"
"31021","42567","52577","0"
"31021","41804","52577","0"
"31021","41804","52635","0"
"31021","41804","52635","0"
"30943","41804","52635","0"
"30943","40828","52635","0"
