"A","B","C","G","","","","","",""
"29680","44770","30887","1","351.40","4.57","-12.40","19.37","","1 - раскрытая ладонь"
"29680","44770","30887","1","350.66","4.52","-12.34","19.40","","2 - кулак"
"29618","44770","30887","1","351.42","4.06","-12.27","19.49","","3 - указательный палец"
"29618","45476","30887","1","352.39","4.57","-12.07","19.61","","4 - дай 5"
"29618","45476","31213","1","351.87","4.69","-11.97","19.70","",""
"29618","45476","31213","1","350.14","4.84","-11.96","19.73","",""
"29670","45476","31213","1","349.72","5.03","-11.88","19.82","",""
"29670","43582","31213","1","349.04","4.98","-11.69","19.93","",""
"29670","43582","30697","1","348.14","5.12","-11.48","20.02","",""
"29670","43582","30697","1","347.66","5.31","-11.43","20.05","",""
"29496","43582","30697","1","347.05","5.26","-11.21","20.14","",""
"29496","44436","30697","1","346.97","5.53","-11.20","20.26","",""
"29496","44436","31410","1","346.67","5.79","-11.15","20.35","",""
"29496","44436","31410","1","346.53","5.84","-11.11","20.38","",""
"29678","44436","31410","1","346.39","7.16","-11.21","20.46","",""
"29678","43628","31410","1","345.52","6.86","-11.03","20.58","",""
"29678","43628","30957","1","344.99","6.53","-10.89","20.67","",""
"29678","43628","30957","1","345.06","6.54","-10.81","20.70","",""
"29598","43628","30957","1","345.30","6.46","-10.77","20.79","",""
"29598","44326","30957","1","345.76","5.98","-10.57","20.91","",""
"29598","44326","31504","1","345.92","5.58","-10.43","21.00","",""
"29598","44326","31504","1","345.59","5.59","-10.42","21.02","",""
"29577","44326","31504","1","345.43","6.10","-10.29","21.11","",""
"29577","43518","31504","1","345.29","6.43","-10.05","21.23","",""
"29577","43518","31153","1","345.92","5.98","-9.74","21.32","",""
"29577","43518","31153","1","346.13","6.00","-9.67","21.35","",""
"29855","43518","31153","1","345.67","5.98","-9.72","21.44","",""
"29855","44366","31153","1","345.11","6.30","-9.65","21.56","",""
"29855","44366","31350","1","344.99","6.26","-9.47","21.65","",""
"29855","44366","31350","1","344.89","6.20","-9.42","21.67","",""
"29632","44366","31350","1","344.95","6.21","-9.14","21.76","",""
"29632","43800","31350","1","344.78","6.20","-9.10","21.88","",""
"29632","43800","31292","1","345.05","6.23","-8.89","21.97","",""
"29632","43800","31292","1","345.11","6.34","-8.89","22.00","",""
"29928","43800","31292","1","345.23","6.23","-8.69","22.09","",""
"29928","43903","31292","1","345.95","7.21","-8.56","22.20","",""
"29928","43903","31748","1","345.96","6.90","-8.31","22.30","",""
"29928","43903","31748","1","345.78","6.83","-8.27","22.32","",""
"30109","43903","31748","1","345.38","7.12","-8.18","22.41","",""
"30109","43569","31748","1","345.21","7.19","-8.02","22.53","",""
"30109","43569","30781","1","345.14","6.68","-7.94","22.62","",""
"30109","43569","30781","1","345.15","6.50","-7.90","22.65","",""
"29508","43569","30781","1","345.61","6.58","-7.75","22.74","",""
"29508","44349","30781","1","345.28","6.51","-7.46","22.85","",""
"29508","44349","31338","1","345.39","6.44","-7.32","22.95","",""
"29508","44349","31338","1","345.60","6.33","-7.27","22.97","",""
"29614","44349","31338","1","345.91","6.10","-7.09","23.06","",""
"29614","43491","31338","1","345.67","6.16","-6.89","23.18","",""
"29614","43491","31242","1","345.36","6.26","-6.80","23.27","",""
"29614","43491","31242","1","345.26","6.23","-6.76","23.30","",""
"29690","43491","31242","1","345.22","6.16","-6.65","23.38","",""
"29690","42749","31242","1","345.22","5.98","-6.52","23.50","",""
"29690","42749","31363","1","344.94","6.11","-6.29","23.59","",""
"29690","42749","31363","1","345.25","6.15","-6.24","23.62","",""
"29598","42749","31363","1","345.31","5.63","-5.99","23.71","",""
"29598","43317","31363","1","345.44","5.69","-5.79","23.82","",""
"29598","43317","31696","1","345.16","5.74","-5.62","23.92","",""
"29598","43317","31696","1","345.09","5.85","-5.55","23.94","",""
"29531","43317","31696","1","345.17","5.96","-5.37","24.03","",""
"29531","43457","31696","1","345.09","5.84","-5.23","24.15","",""
"29531","43457","30990","1","345.26","6.09","-5.14","24.24","",""
"29531","43457","30990","1","345.12","6.20","-5.11","24.26","",""
"29511","43457","30990","1","344.92","6.35","-4.93","24.35","",""
"29511","44933","30990","1","345.30","6.33","-4.64","24.47","",""
"29511","44933","31473","1","345.47","6.39","-4.59","24.56","",""
"29511","44933","31473","1","345.34","6.49","-4.56","24.59","",""
"29621","44933","31473","1","345.49","6.61","-4.46","24.68","",""
"29621","43361","31473","1","345.59","6.58","-4.29","24.80","",""
"29621","43361","31178","1","345.63","6.50","-4.15","24.89","",""
"29621","43361","31178","1","345.49","6.44","-4.14","24.91","",""
"29803","43361","31178","1","345.90","6.30","-4.00","25.00","",""
"29803","42728","31178","1","346.20","6.02","-3.86","25.12","",""
"29803","42728","31481","1","346.24","6.04","-3.71","25.21","",""
"29803","42728","31481","1","345.94","6.06","-3.66","25.24","",""
"29536","42728","31481","1","345.80","6.13","-3.43","25.32","",""
"29536","43278","31481","1","345.14","6.21","-3.31","25.44","",""
"29536","43278","31674","1","345.28","6.61","-3.22","25.53","",""
"29536","43278","31674","1","345.28","6.56","-3.17","25.56","",""
"29520","43278","31674","1","345.07","6.93","-3.12","25.65","",""
"29520","43486","31674","1","345.17","6.73","-3.01","25.76","",""
"29520","43486","31062","1","345.34","6.58","-2.92","25.86","",""
"29520","43486","31062","1","345.38","6.45","-2.89","25.88","",""
"29762","43486","31062","1","345.35","6.12","-2.77","25.97","",""
"29762","44608","31062","1","345.05","5.91","-2.64","26.09","",""
"29762","44608","31626","1","344.89","6.11","-2.43","26.18","",""
"29762","44608","31626","1","345.11","6.20","-2.36","26.21","",""
"30019","44608","31626","1","344.68","6.50","-2.21","26.30","",""
"30019","43282","31626","1","345.13","6.30","-1.98","26.41","",""
"30019","43282","31200","1","345.50","6.30","-1.88","26.51","",""
"30019","43282","31200","1","345.36","6.25","-1.86","26.53","",""
"29919","43282","31200","1","345.37","6.26","-1.81","26.62","",""
"29919","43835","31200","1","345.58","6.40","-1.54","26.74","",""
"29919","43835","31754","1","345.35","6.20","-1.40","26.83","",""
"29919","43835","31754","1","345.43","6.15","-1.37","26.86","",""
"29925","43835","31754","1","345.59","6.13","-1.15","26.95","",""
"29925","43781","31754","1","345.39","5.78","-0.91","27.06","",""
"29925","43781","31107","1","345.39","6.01","-0.75","27.16","",""
"29925","43781","31107","1","345.55","6.06","-0.71","27.18","",""
"29794","43781","31107","1","345.54","5.70","-0.48","27.27","",""
"29794","43773","31107","1","345.82","5.88","-0.32","27.39","",""
"29794","43773","31780","1","345.72","5.88","-0.21","27.48","",""
"29794","43773","31780","1","345.56","5.86","-0.17","27.51","",""
"29854","43773","31780","1","345.56","6.00","-0.05","27.60","",""
"29854","43287","31780","1","345.38","6.32","0.17","27.71","",""
"29854","43287","31301","1","345.28","6.58","0.30","27.80","",""
"29854","43287","31301","1","345.34","6.54","0.35","27.83","",""
"29870","43287","31301","1","345.76","6.40","0.45","27.92","",""
"29870","43850","31301","1","345.40","6.59","0.71","28.04","",""
"29870","43850","31802","1","345.45","6.76","0.87","28.13","",""
"29870","43850","31802","1","345.48","6.65","0.93","28.16","",""
"30119","43850","31802","1","345.55","6.69","1.11","28.25","",""
"30119","43560","31802","1","345.39","6.50","1.23","28.36","",""
"30119","43560","31101","1","345.57","6.70","1.32","28.45","",""
"30119","43560","31101","1","345.43","6.79","1.34","28.48","",""
"29789","43560","31101","1","344.99","7.40","1.44","28.57","",""
"29789","43798","31101","1","344.72","7.48","1.58","28.69","",""
"29789","43798","31738","1","344.68","7.11","1.77","28.78","",""
"29789","43798","31738","1","344.80","6.92","1.83","28.81","",""
"29890","43798","31738","1","344.91","6.57","1.88","28.89","",""
"29890","43291","31738","1","344.75","6.97","1.97","29.01","",""
"29890","43291","31261","1","344.99","6.84","2.11","29.10","",""
"29890","43291","31261","1","345.01","6.74","2.17","29.13","",""
"29871","43291","31261","1","345.30","6.49","2.27","29.22","",""
"29871","43838","31261","1","345.46","6.35","2.52","29.34","",""
"29871","43838","31766","1","345.19","6.32","2.61","29.43","",""
"29871","43838","31766","1","344.96","6.26","2.65","29.45","",""
"29675","43838","31766","1","345.19","6.17","2.81","29.54","",""
"29675","43237","31766","1","345.01","5.84","2.96","29.66","",""
"29675","43237","31177","1","344.94","6.10","3.07","29.75","",""
"29675","43237","31177","1","344.84","6.27","3.10","29.78","",""
"29950","43237","31177","1","344.90","6.44","3.27","29.87","",""
"29950","44338","31177","1","345.23","7.06","3.47","29.99","",""
"29950","44338","31636","1","345.29","6.68","3.66","30.08","",""
"29950","44338","31636","1","345.26","6.59","3.71","30.10","",""
"29995","44338","31636","1","345.72","6.62","3.86","30.19","",""
"29995","43328","31636","1","344.79","6.45","4.04","30.31","",""
"29995","43328","30906","1","343.36","5.69","4.76","30.40","",""
"29995","43328","30906","1","343.61","5.57","4.96","30.43","",""
"29699","43328","30906","1","343.94","5.39","5.27","30.52","",""
"29699","46014","30906","1","343.97","5.65","5.41","30.64","",""
"29699","46014","31029","1","344.09","5.52","5.54","30.73","",""
"29699","46014","31029","1","344.26","5.59","5.54","30.76","",""
"29909","46014","31029","1","344.28","5.42","5.62","30.84","",""
"29909","46776","31029","1","343.65","5.82","5.21","30.97","",""
"29909","46776","31318","1","343.54","6.12","5.21","31.06","",""
"29909","46776","31318","1","343.65","6.21","5.21","31.09","",""
"29885","46776","31318","1","343.96","6.18","5.09","31.17","",""
"29885","47417","31318","1","343.20","6.17","4.97","31.30","",""
"29885","47417","31180","1","343.89","6.29","5.00","31.39","",""
"29885","47417","31180","1","343.96","6.34","5.03","31.42","",""
"29681","47417","31180","1","343.21","6.10","5.05","31.51","",""
"29681","48609","31180","1","342.98","6.13","5.37","31.63","",""
"29681","48609","31786","1","342.63","6.99","5.54","31.73","",""
"29681","48609","31786","1","343.31","7.25","5.59","31.75","",""
"30174","48609","31786","1","343.66","6.87","5.77","31.84","",""
"30174","48434","31786","1","342.20","6.44","5.07","31.97","",""
"30174","48434","31818","1","342.97","6.50","5.63","32.06","",""
"30174","48434","31818","1","342.60","6.30","5.83","32.09","",""
"29980","48434","31818","1","344.10","6.40","5.88","32.18","",""
"29980","48338","31818","1","345.49","5.05","5.50","32.30","",""
"29980","48338","31693","1","346.24","4.03","5.67","32.40","",""
"29980","48338","31693","1","346.23","4.01","5.70","32.42","",""
"29968","48338","31693","1","345.94","3.75","5.84","32.51","",""
"29968","48036","31693","1","346.82","5.15","5.90","32.64","",""
"29968","48036","31304","1","346.07","3.40","5.82","32.73","",""
"29968","48036","31304","1","345.33","3.22","5.96","32.76","",""
"29652","48036","31304","1","345.15","4.26","5.97","32.84","",""
"29652","48489","31304","1","345.07","3.46","6.25","32.97","",""
"29652","48489","31734","1","344.93","3.40","6.26","33.06","",""
"29652","48489","31734","1","345.11","3.40","6.29","33.09","",""
"30178","48489","31734","1","345.00","3.08","6.31","33.18","",""
"30178","47856","31734","1","344.31","2.66","6.29","33.31","",""
"30178","47856","31752","1","344.46","2.97","6.36","33.40","",""
"30178","47856","31752","1","344.17","3.13","6.45","33.43","",""
"30056","47856","31752","1","344.70","3.49","6.63","33.51","",""
"30056","46386","31752","1","344.35","3.17","6.94","33.64","",""
