A,B,C,G,,,,
44379,45327,42941,0,350.17,6.09,3.16,11.77
44379,45327,42941,0,350.73,6.16,3.12,11.80
44368,45327,42941,0,364.05,7.72,2.82,11.92
44368,44789,42941,0,364.05,7.72,2.78,12.04
44368,44789,42378,0,364.05,7.72,2.58,12.15
44368,44789,42378,0,364.05,7.72,2.65,12.18
44606,44789,42378,0,364.05,7.72,2.01,12.30
44606,45079,42378,0,364.05,7.72,1.78,12.42
44606,45079,42942,0,364.05,7.72,1.85,12.53
44606,45079,42942,0,364.05,7.72,1.90,12.56
44631,45079,42942,0,364.05,7.72,1.86,12.68
44631,45366,42942,0,364.05,7.72,1.71,12.80
44631,45366,43185,0,364.05,7.72,2.39,12.91
44631,45366,43185,0,364.05,7.72,2.50,12.94
43962,45366,43185,0,364.05,7.72,2.78,13.06
43962,45201,43185,0,364.05,7.72,2.94,13.18
43962,45201,43144,0,364.05,7.72,3.52,13.29
43962,45201,43144,0,364.05,7.72,3.66,13.32
43785,45201,43144,0,364.05,7.72,4.14,13.43
43785,44050,43144,0,358.39,7.96,4.72,13.55
43785,44050,42974,0,355.67,7.85,5.32,13.67
43785,44050,42974,0,351.42,7.66,5.43,13.70
43362,44050,42974,0,350.77,7.04,6.20,13.81
43362,42653,42974,0,349.41,6.64,6.66,13.93
43362,42653,42699,0,347.30,6.40,6.89,14.04
43362,42653,42699,0,345.33,6.24,6.92,14.07
43131,42653,42699,0,343.97,5.73,7.04,14.19
43131,42301,42699,0,342.74,5.56,7.13,14.30
43131,42301,42942,0,341.73,5.18,7.13,14.42
43131,42301,42942,0,340.81,5.12,7.13,14.44
43142,42301,42942,0,340.22,4.82,6.91,14.56
43142,43033,42942,0,339.60,4.82,6.89,14.68
43142,43033,43117,0,339.74,4.52,6.59,14.79
43142,43033,43117,0,339.58,4.62,6.52,14.82
43613,43033,43117,0,339.25,4.70,6.32,14.94
43613,43460,43117,0,339.70,4.64,6.07,15.06
43613,43460,43159,0,338.88,4.87,5.93,15.17
43613,43460,43159,0,338.84,4.99,5.91,15.20
43540,43460,43159,0,338.32,5.26,5.82,15.32
43540,43573,43159,0,337.97,5.42,5.60,15.43
43540,43573,42931,0,337.79,5.99,5.30,15.55
43540,43573,42931,0,337.90,6.04,5.24,15.58
43886,43573,42931,0,337.79,6.84,5.04,15.69
43886,43923,42931,0,337.76,7.03,4.89,15.81
43886,43923,42982,0,337.90,7.05,4.99,15.93
43886,43923,42982,0,337.98,7.13,5.01,15.95
43996,43923,42982,0,338.33,7.04,5.15,16.07
43996,43954,42982,0,338.28,6.95,5.16,16.19
43996,43954,42939,0,338.39,7.20,5.17,16.31
43996,43954,42939,0,338.57,7.14,5.16,16.33
43951,43954,42939,0,338.45,6.85,5.28,16.45
43951,43838,42939,0,338.71,6.57,5.23,16.57
43951,43838,42829,0,338.67,6.72,5.37,16.69
43951,43838,42829,0,338.76,6.91,5.39,16.71
43984,43838,42829,0,338.90,7.00,5.35,16.83
43984,43916,42829,0,338.87,6.90,5.44,16.95
43984,43916,43028,0,338.71,7.16,5.47,17.07
43984,43916,43028,0,338.69,7.23,5.51,17.09
44100,43916,43028,0,338.74,7.24,5.48,17.21
44100,44010,43028,0,338.59,7.28,5.60,17.33
44100,44010,42904,0,338.65,7.16,5.62,17.45
44100,44010,42904,0,338.54,7.06,5.64,17.47
44107,44010,42904,0,338.84,7.09,5.71,17.59
44107,44029,42904,0,338.72,7.25,5.87,17.71
44107,44029,43085,0,338.98,7.45,5.81,17.83
44107,44029,43085,0,338.99,7.39,5.81,17.85
43973,44029,43085,0,339.08,7.33,5.98,17.97
43973,43897,43085,0,338.95,7.40,6.05,18.09
43973,43897,42995,0,339.04,7.20,6.08,18.20
43973,43897,42995,0,338.90,7.20,6.09,18.23
44044,43897,42995,0,338.99,7.29,6.09,18.35
44044,43911,42995,0,338.82,7.24,6.15,18.47
44044,43911,42998,0,338.58,7.13,6.27,18.58
44044,43911,42998,0,338.51,7.07,6.29,18.61
44118,43911,42998,0,338.82,7.10,6.16,18.73
44118,44171,42998,0,338.69,7.09,6.26,18.85
44118,44171,42887,0,338.44,7.22,6.24,18.96
44118,44171,42887,0,338.43,7.22,6.25,18.99
44017,44171,42887,0,338.37,7.31,6.27,19.11
44017,43989,42887,0,338.57,7.37,6.37,19.23
44017,43989,43012,0,338.59,7.60,6.48,19.34
44017,43989,43012,0,338.74,7.54,6.50,19.37
44030,43989,43012,0,338.94,7.68,6.51,19.49
44030,44306,43012,0,338.91,7.53,6.64,19.61
44030,44306,43094,0,338.90,7.02,6.74,19.72
44030,44306,43094,0,338.88,6.88,6.75,19.75
44232,44306,43094,0,338.84,7.03,6.83,19.87
44232,44071,43094,0,338.89,7.23,6.79,19.99
44232,44071,43156,0,338.95,7.43,6.94,20.10
44232,44071,43156,0,339.08,7.46,6.94,20.13
44069,44071,43156,0,338.96,7.72,7.03,20.25
44069,43916,43156,0,338.83,7.64,7.01,20.37
44069,43916,43090,0,339.18,7.41,7.00,20.48
44069,43916,43090,0,339.14,7.37,7.01,20.51
44317,43916,43090,0,339.37,7.51,7.05,20.63
44317,43861,43090,0,339.12,7.72,7.15,20.75
44317,43861,43369,0,339.19,7.61,7.14,20.86
44317,43861,43369,0,339.11,7.64,7.14,20.89
43910,43861,43369,0,338.85,7.72,7.28,21.01
43910,43716,43369,0,338.45,7.70,7.35,21.13
43910,43716,43116,0,338.84,7.54,7.35,21.24
43910,43716,43116,0,338.92,7.61,7.36,21.27
43903,43716,43116,0,338.92,7.80,7.46,21.39
43903,43912,43116,0,338.75,7.63,7.58,21.51
43903,43912,43271,0,338.95,7.47,7.52,21.62
43903,43912,43271,0,338.90,7.45,7.52,21.65
43944,43912,43271,0,338.92,7.44,7.59,21.77
43944,44085,43271,0,338.62,7.46,7.69,21.89
43944,44085,43144,0,339.00,7.17,7.68,22.00
43944,44085,43144,0,338.86,7.32,7.69,22.03
43730,44085,43144,0,338.98,7.57,7.74,22.15
43730,43766,43144,0,338.63,7.78,7.85,22.27
43730,43766,43243,0,338.78,7.61,7.83,22.38
43730,43766,43243,0,338.73,7.60,7.83,22.41
43881,43766,43243,0,338.89,7.78,7.89,22.53
43881,43720,43243,0,338.68,7.83,7.91,22.64
43881,43720,43315,0,338.82,7.38,7.91,22.76
43881,43720,43315,0,338.76,7.45,7.90,22.79
43888,43720,43315,0,338.53,7.64,7.92,22.91
43888,43991,43315,0,338.47,7.78,7.95,23.02
43888,43991,43106,0,338.75,7.96,7.93,23.14
43888,43991,43106,0,338.82,7.96,7.93,23.17
43881,43991,43106,0,338.79,8.20,8.01,23.29
43881,43822,43106,0,338.77,8.43,8.04,23.40
43881,43822,43223,0,338.60,8.69,8.04,23.52
43881,43822,43223,0,338.68,8.66,8.05,23.55
43882,43822,43223,0,338.96,8.64,8.19,23.67
43882,43998,43223,0,338.81,8.50,8.39,23.78
43882,43998,43075,0,338.80,8.24,8.40,23.90
43882,43998,43075,0,338.71,8.16,8.41,23.93
43900,43998,43075,0,338.88,8.15,8.51,24.04
43900,43785,43075,0,339.07,7.85,8.52,24.16
43900,43785,43132,0,338.82,7.91,8.64,24.28
43900,43785,43132,0,338.75,7.93,8.68,24.31
43838,43785,43132,0,338.74,8.02,8.63,24.42
43838,43907,43132,0,339.10,8.10,8.70,24.54
43838,43907,43082,0,338.99,7.98,8.68,24.66
43838,43907,43082,0,338.89,8.08,8.69,24.68
43784,43907,43082,0,339.10,8.10,8.69,24.80
43784,43993,43082,0,338.70,7.86,8.88,24.92
43784,43993,43170,0,339.04,7.73,8.90,25.04
43784,43993,43170,0,339.04,7.71,8.90,25.06
43694,43993,43170,0,339.04,7.86,8.94,25.18
43694,43966,43170,0,338.85,7.67,8.91,25.30
43694,43966,43057,0,338.84,7.91,8.91,25.42
43694,43966,43057,0,338.96,8.09,8.91,25.44
44289,43966,43057,0,339.09,8.37,8.92,25.56
44289,43831,43057,0,339.28,8.21,8.83,25.68
44289,43831,43162,0,339.02,6.42,9.09,25.80
44289,43831,43162,0,338.83,6.56,9.10,25.82
43883,43831,43162,0,338.84,7.01,8.96,25.94
43883,44315,43162,0,338.68,7.32,8.88,26.06
43883,44315,43117,0,338.41,7.52,8.55,26.18
43883,44315,43117,0,338.51,7.76,8.44,26.20
44053,44315,43117,0,338.18,7.86,7.88,26.32
44053,44160,43117,0,338.00,8.83,7.13,26.44
44053,44160,42969,0,337.57,9.55,6.75,26.56
44053,44160,42969,0,337.87,9.67,6.64,26.58
43948,44160,42969,0,337.57,10.21,6.07,26.70
43948,44034,42969,0,337.48,10.75,5.52,26.82
43948,44034,42994,0,337.15,11.49,5.05,26.94
43948,44034,42994,0,337.26,11.35,4.94,26.96
44393,44034,42994,0,336.65,12.12,4.28,27.08
44393,44731,42994,0,336.10,12.90,3.49,27.20
44393,44731,42915,0,335.94,13.73,2.91,27.32
44393,44731,42915,0,336.01,13.72,2.80,27.35
44000,44731,42915,0,336.03,14.29,2.38,27.46
44000,44765,42915,0,335.52,14.43,2.01,27.58
44000,44765,42655,0,335.98,14.56,1.72,27.70
44000,44765,42655,0,336.14,14.52,1.65,27.73
44080,44765,42655,0,336.47,14.45,1.40,27.84
44080,44829,42655,0,336.69,14.41,1.37,27.96
44080,44829,42537,0,336.96,14.43,1.39,28.08
44080,44829,42537,0,336.95,14.42,1.40,28.11
44181,44829,42537,0,336.58,14.59,1.57,28.23
44181,44122,42537,0,336.33,14.98,1.76,28.34
44181,44122,42531,0,336.31,15.15,1.74,28.46
44181,44122,42531,0,336.55,15.13,1.77,28.49
44206,44122,42531,0,336.32,15.27,1.88,28.60
44206,44074,42531,0,336.13,15.34,1.97,28.72
44206,44074,42600,0,336.35,15.53,1.89,28.84
44206,44074,42600,0,336.35,15.40,1.90,28.87
44191,44074,42600,0,336.27,15.49,1.99,28.98
44191,44039,42600,0,336.29,15.51,2.11,29.10
44191,44039,42643,0,336.09,15.53,2.27,29.22
44191,44039,42643,0,335.93,15.43,2.32,29.24
44184,44039,42643,0,335.88,16.45,2.54,29.36
44184,43887,42643,0,335.79,16.59,2.84,29.48
44184,43887,42709,0,335.80,16.26,3.02,29.60
44184,43887,42709,0,335.79,16.20,3.04,29.62
44099,43887,42709,0,335.75,16.23,3.07,29.74
44099,43419,42709,0,335.69,15.97,3.29,29.86
44099,43419,42784,0,335.36,16.02,3.56,29.98
44099,43419,42784,0,335.37,15.99,3.62,30.00
44006,43419,42784,0,334.63,15.89,3.77,30.12
44006,43311,42784,0,334.52,15.54,4.08,30.24
44006,43311,42900,0,334.72,15.10,4.30,30.35
44006,43311,42900,0,334.84,15.06,4.34,30.38
43691,43311,42900,0,334.71,15.83,4.73,30.50
43691,42073,42900,0,334.46,15.71,5.21,30.61
43691,42073,42348,0,334.34,15.43,5.59,30.73
43691,42073,42348,0,334.26,15.17,5.68,30.75
43137,42073,42348,0,334.77,14.92,6.09,30.87
43137,41570,42348,0,334.62,14.80,6.41,30.98
43137,41570,41924,0,335.29,14.32,7.40,31.10
43137,41570,41924,0,335.29,14.28,7.63,31.12
42596,41570,41924,0,335.65,14.38,8.21,31.24
42596,41122,41924,0,335.64,14.21,8.65,31.35
42596,41122,42455,0,335.70,13.77,9.14,31.47
42596,41122,42455,0,335.69,13.77,9.23,31.49
42899,41122,42455,0,336.02,13.08,9.85,31.61
42899,40762,42455,0,335.93,12.51,10.24,31.72
42899,40762,42231,0,335.72,12.37,10.46,31.84
42899,40762,42231,0,335.73,12.33,10.52,31.86
42725,40762,42231,0,335.87,12.00,10.74,31.98
42725,40965,42231,0,335.77,11.96,10.70,32.09
42725,40965,42516,0,335.62,12.49,10.86,32.21
42725,40965,42516,0,335.58,12.56,10.95,32.23
42821,40965,42516,0,335.39,12.82,11.41,32.35
42821,41635,42516,0,335.24,12.98,11.74,32.46
42821,41635,42161,0,335.30,12.63,11.95,32.58
42821,41635,42161,0,334.08,13.02,12.06,32.60
42838,41635,42161,0,335.24,14.00,12.81,32.72
42838,40886,42161,0,335.43,12.74,12.85,32.83
42838,40886,42356,0,335.89,13.39,12.97,32.95
42838,40886,42356,0,336.10,13.26,12.96,32.97
42897,40886,42356,0,335.90,12.61,13.23,33.09
42897,42350,42356,0,336.47,12.29,13.10,33.21
42897,42350,42231,0,336.78,11.76,12.73,33.32
42897,42350,42231,0,336.75,11.68,12.65,33.35
43294,42350,42231,0,336.93,11.14,12.45,33.46
43294,41891,42231,0,335.37,10.38,11.16,33.58
43294,41891,41733,0,336.03,11.12,10.86,33.69
43294,41891,41733,0,336.35,11.55,10.79,33.72
43174,41891,41733,0,336.11,12.25,10.37,33.84
43174,41566,41733,0,336.27,12.42,10.43,33.95
43174,41566,42302,0,336.62,12.35,10.61,34.06
43174,41566,42302,0,336.99,12.40,10.73,34.09
43406,41566,42302,0,337.67,12.86,10.76,34.21
43406,42312,42302,0,337.61,13.18,11.01,34.32
43406,42312,41978,0,337.47,13.49,11.09,34.44
43406,42312,41978,0,337.39,13.47,11.10,34.46
43440,42312,41978,0,337.47,13.40,11.14,34.58
43440,42210,41978,0,337.45,13.44,11.24,34.70
43440,42210,41994,0,337.39,13.69,11.28,34.81
43440,42210,41994,0,337.37,13.63,11.29,34.84
43020,42210,41994,0,337.20,13.58,11.48,34.95
43020,41886,41994,0,337.14,13.99,11.77,35.07
43020,41886,42405,0,336.39,14.39,12.19,35.18
43020,41886,42405,0,336.21,14.29,12.30,35.21
