A,B,C,G,,,,,,,,,
48428,38963,46338,0,359.37,11.26,-7.47,14.58,750,750,751,750,750
48428,38963,46338,0,358.43,11.18,-7.47,14.61,,,,,
48306,38963,46338,0,358.43,11.18,-7.72,14.73,,,,,
48306,38706,46338,0,358.43,11.18,-8.02,14.84,,,,,
48306,38706,46577,0,358.43,11.18,-7.79,14.96,,,,,
48306,38706,46577,0,358.43,11.18,-7.71,14.99,,,,,
48377,38706,46577,0,358.43,11.18,-7.80,15.12,,,,,
48377,38768,46577,0,358.43,11.18,-6.93,15.22,,,,,
48377,38768,46341,0,358.43,11.18,-5.69,15.35,,,,,
48377,38768,46341,0,357.65,10.86,-5.34,15.37,,,,,
48218,38768,46341,0,359.06,6.96,-5.13,15.50,,,,,
48218,39423,46341,0,358.70,7.81,-5.21,15.61,,,,,
48218,39423,46289,0,356.14,9.67,-5.80,15.73,,,,,
48218,39423,46289,0,354.62,9.81,-5.84,15.76,,,,,
48304,39423,46289,0,354.30,9.35,-6.42,15.89,,,,,
48304,38909,46289,0,353.13,9.91,-6.70,15.99,,,,,
48304,38909,46963,0,353.41,11.22,-6.68,16.12,,,,,
48304,38909,46963,0,352.52,10.83,-6.74,16.14,,,,,
48454,38909,46963,0,352.63,10.61,-6.59,16.27,,,,,
48454,38635,46963,0,351.57,10.69,-6.58,16.38,,,,,
48454,38635,47363,0,351.33,10.85,-6.57,16.50,,,,,
48454,38635,47363,0,350.95,10.61,-6.57,16.53,,,,,
48664,38635,47363,0,350.17,10.78,-6.58,16.66,,,,,
48664,39242,47363,0,349.93,10.18,-6.42,16.77,,,,,
48664,39242,47336,0,350.54,10.96,-6.80,16.89,,,,,
48664,39242,47336,0,350.37,10.97,-6.99,16.92,,,,,
49298,39242,47336,0,350.49,10.73,-6.84,17.05,,,,,
49298,38987,47336,0,350.13,11.82,-6.64,17.16,,,,,
49298,38987,47189,0,350.79,13.76,-6.45,17.28,,,,,
49298,38987,47189,0,350.56,13.42,-6.44,17.31,,,,,
49244,38987,47189,0,350.34,19.00,-6.30,17.44,,,,,
49244,39535,47189,0,350.19,23.35,-6.38,17.55,,,,,
49244,39535,47266,0,351.14,30.49,-6.48,17.67,,,,,
49244,39535,47266,0,351.45,29.59,-6.51,17.70,,,,,
49809,39535,47266,0,352.13,37.50,-6.29,17.83,,,,,
49809,39615,47266,0,351.91,42.07,-6.35,17.94,,,,,
49809,39615,47733,0,352.04,41.02,-6.20,18.06,,,,,
49809,39615,47733,0,351.83,39.51,-6.17,18.09,,,,,
50066,39615,47733,0,351.32,39.13,-6.67,18.22,,,,,
50066,40058,47733,0,351.56,39.40,-7.02,18.33,,,,,
50066,40058,47624,0,351.36,39.96,-7.67,18.46,,,,,
50066,40058,47624,0,351.60,40.75,-7.77,18.48,,,,,
50291,40058,47624,0,350.35,40.47,-8.16,18.62,,,,,
50291,39654,47624,0,350.97,42.84,-8.46,18.72,,,,,
50291,39654,47253,0,352.05,44.66,-9.09,18.85,,,,,
50291,39654,47253,0,352.51,45.91,-9.16,18.88,,,,,
49658,39654,47253,0,351.90,45.86,-9.50,19.01,,,,,
49658,39216,47253,0,353.82,47.56,-10.15,19.12,,,,,
49658,39216,47435,0,354.00,47.60,-10.48,19.24,,,,,
49658,39216,47435,0,354.12,48.67,-10.55,19.27,,,,,
49266,39216,47435,0,354.48,47.47,-10.93,19.40,,,,,
49266,39436,47435,0,353.98,46.99,-10.74,19.51,,,,,
49266,39436,47866,0,355.62,50.01,-11.79,19.63,,,,,
49266,39436,47866,0,355.82,50.74,-12.00,19.66,,,,,
49846,39436,47866,0,355.57,51.54,-12.32,19.79,,,,,
49846,39371,47866,0,355.19,51.47,-12.09,19.90,,,,,
49846,39371,47549,0,355.85,51.27,-12.34,20.02,,,,,
49846,39371,47549,0,356.16,51.81,-12.38,20.05,,,,,
49501,39371,47549,0,356.37,52.33,-12.81,20.18,,,,,
49501,39706,47549,0,355.88,50.75,-12.49,20.29,,,,,
49501,39706,47696,0,355.53,50.36,-12.42,20.42,,,,,
49501,39706,47696,0,355.58,51.26,-12.45,20.44,,,,,
49322,39706,47696,0,355.57,52.32,-12.60,20.57,,,,,
49322,39654,47696,0,356.12,52.83,-12.58,20.68,,,,,
49322,39654,47689,0,356.21,53.29,-12.37,20.81,,,,,
49322,39654,47689,0,356.73,53.62,-12.43,20.83,,,,,
49178,39654,47689,0,357.52,53.65,-12.86,20.96,,,,,
49178,39428,47689,0,357.85,53.74,-12.88,21.07,,,,,
49178,39428,47492,0,358.47,53.41,-13.20,21.20,,,,,
49178,39428,47492,0,358.37,53.22,-13.24,21.22,,,,,
48966,39428,47492,0,357.93,52.71,-13.33,21.35,,,,,
48966,39631,47492,0,357.92,53.03,-13.39,21.46,,,,,
48966,39631,47254,0,357.63,52.72,-13.53,21.59,,,,,
48966,39631,47254,0,357.45,52.95,-13.52,21.61,,,,,
49125,39631,47254,0,357.39,53.42,-13.57,21.74,,,,,
49125,39470,47254,0,357.53,53.53,-13.50,21.85,,,,,
49125,39470,47565,0,356.97,52.09,-13.27,21.98,,,,,
49125,39470,47565,0,356.97,52.61,-13.30,22.00,,,,,
48876,39470,47565,0,357.23,52.50,-13.46,22.13,,,,,
48876,39706,47565,0,357.02,52.79,-13.64,22.24,,,,,
48876,39706,47382,0,357.29,55.31,-13.92,22.37,,,,,
48876,39706,47382,0,357.44,55.38,-14.01,22.39,,,,,
49752,39706,47382,0,359.43,58.82,-15.13,22.52,,,,,
49752,39781,47382,0,262.84,60.84,-16.23,22.63,,,,,
49752,39781,47684,0,175.40,61.34,-16.64,22.76,,,,,
49752,39781,47684,0,128.59,60.77,-16.73,22.79,,,,,
49318,39781,47684,0,68.15,61.70,-17.39,22.92,,,,,
49318,39350,47684,0,24.81,64.33,-18.17,23.02,,,,,
49318,39350,47771,0,-10.51,67.81,-19.42,23.15,,,,,
49318,39350,47771,0,-13.28,66.98,-19.61,23.18,,,,,
49122,39350,47771,0,-39.31,67.50,-20.44,23.31,,,,,
49122,39517,47771,0,-49.93,67.13,-20.77,23.42,,,,,
49122,39517,48128,0,-58.79,65.81,-21.19,23.54,,,,,
49122,39517,48128,0,-46.29,65.56,-21.30,23.57,,,,,
48972,39517,48128,0,-53.32,66.39,-21.85,23.70,,,,,
48972,39560,48128,0,-50.71,67.50,-22.45,23.81,,,,,
48972,39560,47623,0,-46.25,68.98,-23.19,23.93,,,,,
48972,39560,47623,0,-33.83,68.98,-23.33,23.96,,,,,
49025,39560,47623,0,-30.77,69.64,-23.86,24.09,,,,,
49025,39651,47623,0,-24.08,70.39,-24.59,24.20,,,,,
49025,39651,47224,0,-18.31,70.36,-25.30,24.32,,,,,
49025,39651,47224,0,-9.59,70.71,-25.41,24.35,,,,,
49607,39651,47224,0,-4.43,69.93,-25.61,24.48,,,,,
49607,40029,47224,0,1.56,69.52,-26.03,24.59,,,,,
49607,40029,47068,0,7.25,70.60,-26.44,24.71,,,,,
49607,40029,47068,0,11.05,70.86,-26.53,24.74,,,,,
50517,40029,47068,0,14.61,70.61,-26.78,24.87,,,,,
50517,41076,47068,0,17.53,68.84,-26.60,24.98,,,,,
50517,41076,46506,0,20.78,69.54,-26.83,25.11,,,,,
50517,41076,46506,0,21.78,69.39,-26.85,25.13,,,,,
50745,41076,46506,0,23.79,68.50,-26.79,25.27,,,,,
50745,40989,46506,0,24.35,68.60,-26.83,25.38,,,,,
50745,40989,46840,0,25.59,69.34,-26.85,25.50,,,,,
50745,40989,46840,0,25.67,69.64,-26.85,25.53,,,,,
51855,40989,46840,0,26.26,69.41,-26.95,25.66,,,,,
51855,41521,46840,0,25.87,70.06,-26.84,25.78,,,,,
51855,41521,46419,0,26.68,70.07,-26.88,25.90,,,,,
51855,41521,46419,0,26.58,70.46,-26.92,25.93,,,,,
52123,41521,46419,0,27.03,70.30,-27.07,26.06,,,,,
52123,41587,46419,0,26.02,71.27,-27.36,26.17,,,,,
52123,41587,45907,0,25.96,72.78,-27.49,26.30,,,,,
52123,41587,45907,0,26.62,73.16,-27.52,26.32,,,,,
52429,41587,45907,0,26.71,73.22,-27.99,26.46,,,,,
